,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
2798,EDDA,1993,10,0.01175,0.0028,0.00065,0.0,0.01519,0.0,43541
2799,EDDA,1993,11,0.01081,0.00243,0.00063,0.0,0.01387,0.0,43541
2800,EDDA,1993,12,0.01117,0.00266,0.00063,0.0,0.01446,0.0,43541
2801,EDDA,1994,1,0.01108,0.00318,0.00075,0.0,0.01501,0.0,43541
2802,EDDA,1994,2,0.01365,0.00256,0.00072,0.0,0.01693,0.0,43541
2803,EDDA,1994,3,0.01297,0.00262,0.00071,0.0,0.01629,0.0,43541
2804,EDDA,1994,4,0.01178,0.00249,0.00064,0.0,0.0149,0.0,43541
2805,EDDA,1994,5,0.01203,0.00257,0.00068,0.0,0.01527,0.0,43541
2806,EDDA,1994,6,0.01093,0.00309,0.00068,0.0,0.0147,0.0,43541
2807,EDDA,1994,7,0.01105,0.00271,0.00052,0.0,0.01428,0.0,43541
2808,EDDA,1994,8,0.0088,0.00174,0.00033,0.0,0.01087,0.0,43541
2809,EDDA,1994,9,0.01151,0.0026,0.0006,0.0,0.01471,0.0,43541
2810,EDDA,1994,10,0.01094,0.0026,0.00059,0.0,0.01412,0.0,43541
2811,EDDA,1994,11,0.01071,0.00244,0.00057,0.0,0.01372,0.0,43541
2812,EDDA,1994,12,0.01148,0.0027,0.00062,0.0,0.0148,0.0,43541
2813,EDDA,1995,1,0.01041,0.00266,0.00059,0.0,0.01365,0.0,43541
2814,EDDA,1995,2,0.0098,0.00212,0.00059,0.0,0.0125,0.0,43541
2815,EDDA,1995,3,0.01045,0.00258,0.00065,0.0,0.01367,0.0,43541
2816,EDDA,1995,4,0.01101,0.00264,0.00067,0.0,0.01432,0.0,43541
2817,EDDA,1995,5,0.01393,0.00277,0.00064,0.0,0.01733,0.0,43541
2818,EDDA,1995,6,0.01409,0.00285,0.00061,0.0,0.01755,0.0,43541
