fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldHcType,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
EIRIN,Equinor Energy AS,Approved for production,15/5-2,16.12.1978,North sea,PRODUCTION LICENSE,048 E,Dusavik,GAS,18450020.0,42002492,316,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002492,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002492,18.01.2024,01.02.2024,14.04.2024
EKOFISK,ConocoPhillips Skandinavia AS,Producing,2/4-2,24.12.1969,North sea,PRODUCTION LICENSE,018,Tananger,OIL,20900.0,43506,172,2410696.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43506,02.01.2024,29.02.2024,14.04.2024
ELDFISK,ConocoPhillips Skandinavia AS,Producing,2/7-1,11.12.1970,North sea,PRODUCTION LICENSE,018,Tananger,OIL,20900.0,43527,179,2410696.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43527,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43527,02.01.2024,29.02.2024,14.04.2024
EMBLA,ConocoPhillips Skandinavia AS,Producing,2/7-20,25.06.1988,North sea,PRODUCTION LICENSE,018,Tananger,OIL,20900.0,43534,1062,2410696.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43534,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43534,02.01.2024,02.01.2024,14.04.2024
ENOCH,Repsol Sinopec North Sea Limited,Producing,?,,North sea,BUSINESS ARRANGEMENT AREA,ENOCH UNIT,,OIL,3437805.0,3437659,0,28222425.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3437659,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3437659,02.01.2024,07.01.2024,14.04.2024
FENJA,Vår Energi Norge AS,Producing,6406/12-3 S,26.04.2014,Norwegian sea,PRODUCTION LICENSE,586,Kristiansund,OIL/GAS,20109200.0,31164879,7322,50000114.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=31164879,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=31164879,16.02.2024,18.02.2024,14.04.2024
FENRIS,Aker BP ASA,Approved for production,2/4-21,24.05.2012,North sea,PRODUCTION LICENSE,146,Tananger,GAS/CONDENSATE,21980.0,42002478,6736,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002478,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002478,02.01.2024,02.01.2024,14.04.2024
FLYNDRE,Repsol Sinopec Resources UK Limited,Shut down,1/5-2,15.04.1974,North sea,BUSINESS ARRANGEMENT AREA,FLYNDRE UNIT,,OIL,29395339.0,24635035,238,28222413.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=24635035,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=24635035,02.01.2024,02.01.2024,14.04.2024
FRAM,Equinor Energy AS,Producing,35/11-4,29.12.1990,North sea,PRODUCTION LICENSE,090,Mongstad,OIL/GAS,21524.0,1578840,1523,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1578840,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578840,03.04.2024,18.02.2024,14.04.2024
FRAM H-NORD,Equinor Energy AS,Producing,35/11-15 S,28.06.2007,North sea,BUSINESS ARRANGEMENT AREA,FRAM H-NORD UNIT,Mongstad,OIL,23410876.0,23410947,5517,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23410947,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23410947,02.01.2024,18.02.2024,14.04.2024
