,field,year,oil,gas,NGL,condensate,OE,water,fldID
866,KRISTIN,2008,4.398,3.94,1.625,0.0,9.963,0.667,1854729
890,KVITEBJØRN,2012,2.483,6.979,0.933,0.0,10.396,0.135,1036101
903,LILLE-FRIGG,1995,0.437,0.609,0.0,0.003,1.049,0.0,43583
914,MARIA,2022,1.219,0.107,0.058,0.0,1.385,0.133,26465170
917,MARTIN LINGE,2022,2.03,2.628,0.276,0.0,4.934,1.123,21675447
922,MARULK,2015,0.104,1.288,0.227,0.0,1.619,0.001,18212090
935,MIKKEL,2007,0.74,1.85,1.0,0.0,3.59,0.007,1630514
953,MIME,1991,0.162,0.037,0.011,0.0,0.21,0.0,43792
959,MORVIN,2013,1.302,0.967,0.372,0.0,2.641,0.0,4966234
973,MURCHISON,1984,2.863,0.081,0.195,0.0,3.139,0.0,43665
1007,NJORD,2000,3.921,0.0,0.0,0.0,3.921,0.062,43751
1028,NORDØST FRIGG,1985,0.0,2.228,0.0,0.013,2.241,0.0,43568
1041,NORNE,2001,11.297,1.085,0.208,0.0,12.591,0.303,43778
1065,NOVA,2023,0.867,0.0,0.0,0.0,0.867,0.0,33197696
1067,ODA,2020,1.272,0.0,0.026,0.0,1.298,0.112,29412516
1072,ODIN,1985,0.0,3.549,0.0,0.028,3.577,0.0,43610
1087,ORMEN LANGE,2012,0.0,22.203,0.0,1.734,23.937,0.0,2762452
1107,OSEBERG,1994,29.212,0.0,0.0,0.0,29.212,0.0,43625
1140,OSEBERG SØR,2003,5.06,0.895,0.0,0.0,5.955,0.327,43645
1163,OSEBERG ØST,2001,3.813,0.0,0.0,0.0,3.813,0.332,43639
1186,OSELVAR,2012,0.151,0.0,0.007,0.0,0.158,0.004,5506919
1194,REV,2010,0.291,1.129,0.019,0.025,1.464,0.0,4467554
1210,RINGHORNE ØST,2008,1.979,0.035,0.0,0.0,2.015,0.163,3505505
1226,SIGYN,2003,0.0,0.913,0.611,0.888,2.412,0.006,1630100
1252,SINDRE,2023,0.005,0.019,0.003,0.0,0.027,0.002,29401178
1262,SKARV,2022,1.457,6.163,0.832,0.0,8.451,0.397,4704482
1266,SKIRNE,2006,0.271,1.277,0.0,0.0,1.548,0.0,2138816
1283,SKOGUL,2020,0.566,0.056,0.0,0.0,0.622,0.072,31164600
1288,SKULD,2014,1.154,0.12,0.046,0.0,1.321,0.171,21350124
1301,SLEIPNER VEST,1999,0.0,3.1,1.084,2.379,6.563,0.0,43457
1335,SLEIPNER ØST,2002,0.0,13.481,1.734,1.529,16.743,0.096,43478
1368,SNORRE,2003,13.598,0.406,0.667,0.0,14.671,7.101,43718
1400,SNØHVIT,2018,0.0,6.451,0.579,0.882,7.912,0.026,2053062
1408,SOLVEIG,2023,0.701,0.0,0.0,0.0,0.701,0.024,34833011
1422,STATFJORD,1992,36.989,2.981,1.531,0.0,41.502,0.0,43658
1456,STATFJORD NORD,1997,3.935,0.173,0.092,0.0,4.2,0.0,43679
1487,STATFJORD ØST,1998,4.236,0.246,0.13,0.0,4.612,0.0,43672
1514,SVALIN,2015,1.961,0.0,0.0,0.0,1.961,0.422,22507971
1524,SYGNA,2001,2.55,0.0,0.0,0.0,2.55,0.0,104718
1548,TAMBAR,2002,1.726,0.0,0.087,0.0,1.814,0.005,1028599
1572,TOMMELITEN GAMMA,1990,0.691,1.25,0.184,0.0,2.125,0.0,43444
1582,TOR,1979,4.526,1.157,0.14,0.0,5.823,0.0,43520
1630,TORDIS,2001,4.754,0.336,0.323,0.0,5.413,1.103,43725
1655,TRESTAKK,2021,1.024,0.0,0.0,0.0,1.024,0.033,29396445
1671,TROLL,2003,20.821,26.169,0.0,1.512,48.502,21.917,46437
1693,TRYM,2012,0.369,0.643,0.0,0.0,1.012,0.0,18081500
1703,TUNE,2004,0.958,3.972,0.046,0.0,4.976,0.041,853376
1731,TYRIHANS,2017,1.567,3.167,0.951,0.0,5.685,1.151,3960848
1745,ULA,1993,7.346,0.472,0.517,0.0,8.335,0.0,43800
1777,URD,2006,2.045,0.069,0.018,0.0,2.132,0.351,2834734
1796,UTGARD,2020,0.327,0.316,0.123,0.0,0.767,0.131,28975098
1813,VALE,2015,0.267,0.292,0.0,0.0,0.56,0.0,1578893
1823,VALEMON,2016,0.451,2.846,0.012,0.0,3.308,0.111,20460969
1848,VALHALL,1999,5.31,1.036,0.258,0.0,6.605,0.0,43548
1874,VARG,1999,1.743,0.0,0.0,0.0,1.743,0.0,43451
1896,VEGA,2014,1.183,1.666,1.052,0.114,4.015,0.02,4467595
1911,VESLEFRIKK,1995,4.458,0.408,0.257,0.0,5.122,0.0,43618
1940,VEST EKOFISK,1978,3.847,4.346,0.0,0.0,8.193,0.0,43513
1963,VIGDIS,1999,5.109,0.0,0.0,0.0,5.109,0.0,43732
1990,VILJE,2010,1.783,0.083,0.0,0.0,1.866,0.001,3392471
2026,VISUND,2021,1.019,5.498,0.587,0.0,7.105,1.847,43745
2032,VISUND SØR,2015,0.638,0.775,0.207,0.0,1.62,0.374,20461008
2044,VOLUND,2012,1.99,0.181,0.0,0.0,2.171,0.064,4380167
2057,VOLVE,2009,2.717,0.297,0.116,0.035,3.165,0.273,3420717
2066,YME,1997,1.98,0.0,0.0,0.0,1.98,0.0,43807
2078,YTTERGRYTA,2013,0.003,0.448,0.169,0.0,0.62,0.0,4973114
2098,ÅSGARD,2003,6.944,10.073,3.526,4.329,24.872,0.295,43765
2081,ÆRFUGL NORD,2022,0.072,0.667,0.07,0.0,0.809,0.003,38542241
2086,ØST FRIGG,1991,0.0,1.563,0.0,0.013,1.576,0.0,43576
