"name","npdId","year","month","gas","gasUom","water","waterUom","CO2","CO2Uom","cuttings","cuttingsUom"
"ALVHEIM",2845712,2017,11," ","Sm3",366415,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2017,12," ","Sm3",431858,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,1," ","Sm3",414261,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,2," ","Sm3",288710,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,3," ","Sm3",284840,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,4," ","Sm3",310347,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,5," ","Sm3",458529,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,6," ","Sm3",428158,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,7," ","Sm3",494659,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,8," ","Sm3",487116,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,9," ","Sm3",335177,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,10," ","Sm3",296204,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,11," ","Sm3",309161,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018,12," ","Sm3",373295,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,1," ","Sm3",452948,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,2," ","Sm3",347885,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,3," ","Sm3",548464,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,4," ","Sm3",559133,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,5," ","Sm3",559516,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,6," ","Sm3",90914,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,7," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,8," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,9," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,10," ","Sm3",527114,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,11," ","Sm3",623212,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019,12," ","Sm3",725754,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,1," ","Sm3",713312,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,2," ","Sm3",629493,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,3," ","Sm3",564942,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,4," ","Sm3",631951,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,5," ","Sm3",584882,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,6," ","Sm3",522768,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,7," ","Sm3",606988,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,8," ","Sm3",521689,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,9," ","Sm3",583922,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020,10," ","Sm3",344550,"Sm3"," ","Sm3"," ","Sm3"
