Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase,Curve
255.0,761.0,641.7,0.0015584,492.03,610.62,1.8277,0.93481,1.4663,589.07,0.013436,0.058944,0.079693,supercritical,"liquid, T = 255 C"
255.0,771.0,646.18,0.0015475,491.12,610.43,1.8244,0.93525,1.4658,593.35,0.012333,0.05947,0.080208,supercritical,"liquid, T = 255 C"
255.0,781.0,650.6,0.001537,490.22,610.26,1.8211,0.93568,1.4652,597.61,0.011262,0.059994,0.08072,supercritical,"liquid, T = 255 C"
255.0,791.0,654.95,0.0015268,489.33,610.1,1.8179,0.93612,1.4647,601.86,0.010222,0.060517,0.081228,supercritical,"liquid, T = 255 C"
255.0,801.0,659.24,0.0015169,488.46,609.96,1.8148,0.93655,1.4641,606.08,0.0092108,0.061037,0.081733,supercritical,"liquid, T = 255 C"
255.0,811.0,663.47,0.0015072,487.6,609.83,1.8117,0.93698,1.4635,610.29,0.0082281,0.061555,0.082235,supercritical,"liquid, T = 255 C"
255.0,821.0,667.63,0.0014978,486.75,609.72,1.8086,0.93741,1.4629,614.47,0.0072727,0.062071,0.082733,supercritical,"liquid, T = 255 C"
255.0,831.0,671.73,0.0014887,485.91,609.62,1.8056,0.93784,1.4623,618.64,0.0063433,0.062585,0.083228,supercritical,"liquid, T = 255 C"
255.0,841.0,675.78,0.0014798,485.09,609.53,1.8026,0.93826,1.4617,622.79,0.0054392,0.063097,0.08372,supercritical,"liquid, T = 255 C"
255.0,851.0,679.77,0.0014711,484.27,609.46,1.7997,0.93869,1.4611,626.92,0.0045593,0.063607,0.084209,supercritical,"liquid, T = 255 C"
255.0,861.0,683.7,0.0014626,483.47,609.4,1.7968,0.93911,1.4604,631.03,0.0037027,0.064115,0.084695,supercritical,"liquid, T = 255 C"
255.0,871.0,687.58,0.0014544,482.68,609.35,1.794,0.93954,1.4598,635.12,0.0028686,0.064621,0.085178,supercritical,"liquid, T = 255 C"
255.0,881.0,691.4,0.0014463,481.9,609.32,1.7912,0.93996,1.4592,639.2,0.0020563,0.065125,0.085659,supercritical,"liquid, T = 255 C"
255.0,891.0,695.18,0.0014385,481.12,609.29,1.7884,0.94038,1.4585,643.25,0.0012649,0.065626,0.086137,supercritical,"liquid, T = 255 C"
255.0,901.0,698.9,0.0014308,480.36,609.28,1.7856,0.9408,1.4579,647.29,0.00049371,0.066126,0.086612,supercritical,"liquid, T = 255 C"
255.0,911.0,702.57,0.0014233,479.61,609.28,1.7829,0.94122,1.4572,651.3,-0.00025791,0.066624,0.087084,supercritical,"liquid, T = 255 C"
